Ingredient,SMILES
chlorophyllin,[H+].[H+].[H+].CCC1=C(C2=CC3=NC(=CC4=NC(=C(C5=NC(=C(C5=C([O-])[O-])C)C=C1[N-]2)CC(=O)[O-])C(C4C)CCC(=O)[O-])C(=C3C=C)C)C.[Mg+2]
coenzyme q10,
myricetin,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
trans fat,
neptune krill oil,
phospholipids,
total omega-3 fatty acids,
total omega-6 fatty acids,
astaxanthin,CC1=C(C(CC(C1=O)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C
french maritime pine bark extract,
hawthorn berry extract,
rosemary leaf extract,
silymarin,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O
ginkgo leaf extract,
green tea leaf extract,
bilberry fruit standardized extract,
r-lipoic acid,C1CSSC1CCCCC(=O)O
ubiquinol,CC1=C(C(=C(C(=C1O)OC)OC)O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
chromium gtf,C1=CC=NC(=C1)C(=O)[O-].C1=CC=NC(=C1)C(=O)[O-].C1=CC=NC(=C1)C(=O)[O-].[Cr+3]
vanadium,[V]
vinpocetine,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC
vitamin d3,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
vitamin k,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C
bacillus subtilis natto extract,
vanadyl sulfate pentahydrate,O.O.O.O.O.[O-]S(=O)(=O)[O-].O=[V+2]
lutein,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2C(=CC(CC2(C)C)O)C)C)C
resveratrol,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O
lactobacillus acidophilus,
lactobacillus bifidus,
proprietary blend (combination),
organic valerian root extract,
organic grain alcohol,
water,O
valerian root extract,
60% pure vegetable glycerin,
organic passionflower flowering vine extract,
s-adenosyl-methionine,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
sam-e,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
chloride,[Cl-]
silica,O=[Si]=O
nickel,[Ni]
para-aminobenzoic acid,C1=CC(=CC=C1C(=O)O)N
citrus bioflavonoid complex,
coenzyme q-10 powder,
soy lecithin powder,
betaine hydrochloride,C[N+](C)(C)CC(=O)O.[Cl-]
sugar alcohol,
phosphorous,[P]
high choline lecithin,
phosphatidyl choline,
green tea leaves extract,
n-acetyl-cysteine,CC(=O)NC(CS)C(=O)O
boron,[B]
silicon,[Si]
organic milk thistle seed extract,
organic green tea leaf extract,
{echinacea} extract,
organic echinacea purpurea,
organic echinacea angustifolia root,
total isobutylamides,
turmeric root extract,
feverfew flower extract,
goldenseal root extract,
rhodiola rosea root extract,
echinacea purpurea root extract,
echinacea angustifolia root extract,
ginkgo biloba leaf extract,
elderberry fruit extract,
elderberry fruit powder,
yohimbe bark extract,
hawthorn leaves & flowers extract,
gymnema sylvestre leaf extract,
senna leaf extract,
olive leaf extract,
cistanche tubulosa root extract,
gingko biloba extract,
creatine ethyl ester hcl,CCOC(=O)CN(C)C(=N)N.Cl
hyperlh complex,
hyperft complex,
hyper adaptogenic complex,
2:1:1 ajipure instantized bcaas,
